Date,PRCP,TAVG,SNOW
2015/1/1,17.5,1.6,0
2015/1/2,8.6,3.7,0
2015/1/3,15.7,6.2,0
2015/1/4,0,3.4,0
2015/1/5,0,1.1,0
2015/1/6,0,6.4,0
2015/1/7,0,3.7,0
2015/1/8,0,-3.1,0
2015/1/9,0,1.2,0
2015/1/10,2.8,1.2,0
2015/1/11,18,2.3,0
2015/1/12,0,5.6,0
2015/1/13,0,2.2,0
2015/1/14,0,3.7,0
2015/1/15,0,6.1,0
2015/1/16,0,7.6,0
2015/1/17,0,11.7,0
2015/1/18,0,10.5,0
2015/1/19,0,13.1,0
2015/1/20,0,13.1,0
2015/1/21,8.4,12.3,0
2015/1/22,28.4,7.1,0
2015/1/23,0,6.8,0
2015/1/24,0,7.5,0
2015/1/25,0,11.2,0
2015/1/26,0,10.8,0
2015/1/27,0,15.3,0
2015/1/28,0,17.1,0
2015/1/29,0,17.9,0
2015/1/30,0,10.3,0
2015/1/31,11.4,10.3,0
2015/2/1,6.6,12.4,0
2015/2/2,0,1.4,0
2015/2/3,0,5.7,0
2015/2/4,0,8.7,0
2015/2/5,0,2.1,0
2015/2/6,0,5.6,0
2015/2/7,0,11.7,0
2015/2/8,0,16.6,0
2015/2/9,0,16.2,0
2015/2/10,0,15.8,0
2015/2/11,0,16.1,0
2015/2/12,0,9.1,0
2015/2/13,0,9.7,0
2015/2/14,0,14.7,0
2015/2/15,0,17.5,0
2015/2/16,8.6,6.1,0
2015/2/17,1.5,3.2,0
2015/2/18,0,6.9,0
2015/2/19,0,7.2,0
2015/2/20,0,13.3,0
2015/2/21,0,16.3,0
2015/2/22,31.8,7.6,0
2015/2/23,6.9,-1.7,15
2015/2/24,0,-1.6,0
2015/2/25,18.5,3.1,5
2015/2/26,0,2.6,0
2015/2/27,6.4,-1.6,51
2015/2/28,3.8,-1.9,0
2015/3/1,3.6,1.3,0
2015/3/2,1.8,3.1,0
2015/3/3,4.6,7,0
2015/3/4,26.9,8.6,8
2015/3/5,4.1,-0.8,76
2015/3/6,0,3,0
2015/3/7,0,7.8,0
2015/3/8,3,10.2,0
2015/3/9,24.1,9.3,0
2015/3/10,0,11.1,0
2015/3/11,0,13.7,0
2015/3/12,0,14.6,0
2015/3/13,8.6,14.6,0
2015/3/14,0,15,0
2015/3/15,0,15.1,0
2015/3/16,0,18.1,0
2015/3/17,0,21.9,0
2015/3/18,0.8,18.1,0
2015/3/19,0,18.1,0
2015/3/20,6.9,14.7,0
2015/3/21,1.5,14.1,0
2015/3/22,2.8,14.7,0
2015/3/23,0,17.3,0
2015/3/24,0,21.3,0
2015/3/25,0,22.4,0
2015/3/26,0,17.1,0
2015/3/27,0,14.8,0
2015/3/28,0,17.1,0
2015/3/29,0,21.8,0
2015/3/30,0,21.6,0
2015/3/31,0,23.1,0
2015/4/1,0,23.1,0
2015/4/2,0,24.1,0
2015/4/3,0,22.4,0
2015/4/4,0,15.7,0
2015/4/5,13.2,14.2,0
2015/4/6,0.3,19.9,0
2015/4/7,0,24.2,0
2015/4/8,0,23.2,0
2015/4/9,0.8,23.6,0
2015/4/10,0,17.9,0
2015/4/11,0,17.8,0
2015/4/12,0.3,21.8,0
2015/4/13,27.4,21.2,0
2015/4/14,0.3,15.3,0
2015/4/15,0,17.4,0
2015/4/16,0,20.6,0
2015/4/17,32.3,19.9,0
2015/4/18,15.2,20.9,0
2015/4/19,0,18.8,0
